1,Productive forest,1,Forestry,1,spruce,301,Oslo ,3,Oslo,10,> 90%  solid rock
12,unproductive forest,2,Urban / residential,2,pine,1101,Eigersund ,11,Rogaland,11,lots of open solid rock
13,Other woodland,3,cabin field,3,birch,1103,Stavanger ,15,Møre og Romsdal,1,< 25 cm soil depth
2,Coastal heathland,4,Military area,,,1106,Haugesund ,18,Nordland,2,25-50 cm soil depth
22,Snowy fields,5,Nature reserve,,,1108,Sandnes ,30,Viken,3,50-100 cm soil depth
30,Water,6,Road / Rail / Airport,,,1111,Sokndal ,34,Innlandet,4,> 100 cm soil depth
40,Cultural pasture,7,Power line,,,1112,Lund ,38,Vestfold og Telemark,,
41,Cultivation,8,Others,,,1114,Bjerkreim ,42,Agder,,
50, Others,9,Recreation area,,,1119,Hå ,46,Vestland,,
,,,,,,1120,Klepp ,50,Trøndelag,,
,,,,,,1121,Time ,54,Troms og Finnmark,,
,,,,,,1122,Gjesdal ,,,,
,,,,,,1124,Sola ,,,,
,,,,,,1127,Randaberg ,,,,
,,,,,,1130,Strand ,,,,
,,,,,,1133,Hjelmeland ,,,,
,,,,,,1134,Suldal ,,,,
,,,,,,1135,Sauda ,,,,
,,,,,,1144,Kvitsøy ,,,,
,,,,,,1145,Bokn ,,,,
,,,,,,1146,Tysvær ,,,,
,,,,,,1149,Karmøy ,,,,
,,,,,,1151,Utsira ,,,,
,,,,,,1160,Vindafjord ,,,,
,,,,,,1505,Kristiansund ,,,,
,,,,,,1506,Molde ,,,,
,,,,,,1507,Ålesund ,,,,
,,,,,,1511,Vanylven ,,,,
,,,,,,1514,Sande ,,,,
,,,,,,1515,Herøy ,,,,
,,,,,,1516,Ulstein ,,,,
,,,,,,1517,Hareid ,,,,
,,,,,,1520,Ørsta ,,,,
,,,,,,1525,Stranda ,,,,
,,,,,,1528,Sykkylven ,,,,
,,,,,,1531,Sula ,,,,
,,,,,,1532,Giske ,,,,
,,,,,,1535,Vestnes ,,,,
,,,,,,1539,Rauma ,,,,
,,,,,,1547,Aukra ,,,,
,,,,,,1554,Averøy ,,,,
,,,,,,1557,Gjemnes ,,,,
,,,,,,1560,Tingvoll ,,,,
,,,,,,1563,Sunndal ,,,,
,,,,,,1566,Surnadal ,,,,
,,,,,,1573,Smøla ,,,,
,,,,,,1576,Aure ,,,,
,,,,,,1577,Volda ,,,,
,,,,,,1578,Fjord ,,,,
,,,,,,1579,Hustadvika ,,,,
,,,,,,1804,Bodø ,,,,
,,,,,,1806,Narvik ,,,,
,,,,,,1811,Bindal ,,,,
,,,,,,1812,Sømna ,,,,
,,,,,,1813,Brønnøy ,,,,
,,,,,,1815,Vega ,,,,
,,,,,,1816,Vevelstad ,,,,
,,,,,,1818,Herøy ,,,,
,,,,,,1820,Alstahaug ,,,,
,,,,,,1822,Leirfjord ,,,,
,,,,,,1824,Vefsn ,,,,
,,,,,,1825,Grane ,,,,
,,,,,,1826,Hattfjelldal ,,,,
,,,,,,1827,Dønna ,,,,
,,,,,,1828,Nesna ,,,,
,,,,,,1832,Hemnes ,,,,
,,,,,,1833,Rana ,,,,
,,,,,,1834,Lurøy ,,,,
,,,,,,1835,Træna ,,,,
,,,,,,1836,Rødøy ,,,,
,,,,,,1837,Meløy ,,,,
,,,,,,1838,Gildeskål ,,,,
,,,,,,1839,Beiarn ,,,,
,,,,,,1840,Saltdal ,,,,
,,,,,,1841,Fauske ,,,,
,,,,,,1845,Sørfold ,,,,
,,,,,,1848,Steigen ,,,,
,,,,,,1851,Lødingen ,,,,
,,,,,,1853,Evenes ,,,,
